user_id,first_name,last_name,email,phone,city,province,user_type,signup_date,is_active
1,Danielle,Johnson,user1@example.com,+13567729816,Halifax,NS,rider,2025-05-25,True
2,Joshua,Walker,user2@example.com,+19222900764,Vancouver,BC,rider,2025-05-04,True
3,Jill,Rhodes,user3@example.com,+12900432998,Winnipeg,MB,rider,2026-05-24,True
4,Patricia,Miller,user4@example.com,+19812397600,Montreal,QC,rider,2026-05-21,True
5,Robert,Johnson,user5@example.com,+16892737056,Winnipeg,MB,rider,2024-04-15,True
6,Jeffery,Wagner,user6@example.com,+15071916904,Vancouver,BC,rider,2026-05-10,True
7,Anthony,Gonzalez,user7@example.com,+18353264641,Winnipeg,MB,driver,2024-09-14,True
8,Debra,Gardner,user8@example.com,+14334938378,Halifax,NS,rider,2026-05-13,False
9,Jeffrey,Lawrence,user9@example.com,+16764705401,Montreal,QC,rider,2024-01-21,True
10,Lisa,Smith,user10@example.com,+17009385667,Edmonton,AB,driver,2025-08-09,True
11,Linda,Wolfe,user11@example.com,+17719164281,Halifax,NS,rider,2026-05-21,True
12,Matthew,Moore,user12@example.com,+12423511939,Toronto,ON,rider,2023-12-11,True
13,Susan,Rogers,user13@example.com,+13914604319,Calgary,AB,rider,2024-08-30,True
14,Christopher,Davis,user14@example.com,+17776590939,Vancouver,BC,rider,2023-02-08,True
15,Melanie,Munoz,user15@example.com,+18081568150,Ottawa,ON,rider,2023-05-14,True
16,Lindsay,Blair,user16@example.com,+13496060167,Vancouver,BC,rider,2024-06-16,True
17,Amanda,Dudley,user17@example.com,+14238171141,Calgary,AB,rider,2024-06-25,True
18,Nicholas,Arnold,user18@example.com,+19395907656,Winnipeg,MB,rider,2024-12-03,True
19,Maria,Montgomery,user19@example.com,+16486879539,Ottawa,ON,driver,2026-01-09,True
20,Michelle,Ray,user20@example.com,+14783009621,Edmonton,AB,rider,2025-11-17,True
21,Janet,Williams,user21@example.com,+14216176949,Calgary,AB,rider,2025-05-07,True
22,Jeremy,Roberts,user22@example.com,+16116565613,Halifax,NS,rider,2023-12-27,True
23,Christopher,Hall,user23@example.com,+17095493035,Vancouver,BC,rider,2025-10-18,True
24,Craig,Ramirez,user24@example.com,+19462026208,Toronto,ON,rider,2023-11-03,True
25,Cynthia,Diaz,user25@example.com,+13670036982,Halifax,NS,driver,2025-12-30,True
26,Mitchell,Clark,user26@example.com,+19526180688,Ottawa,ON,driver,2026-06-10,True
27,Joseph,Zuniga,user27@example.com,+19728803765,Montreal,QC,rider,2025-04-14,True
28,Deborah,Lynch,user28@example.com,+12846427583,Edmonton,AB,driver,2023-06-27,True
29,George,Daniel,user29@example.com,+18561486017,Winnipeg,MB,driver,2025-09-19,True
30,Frank,Gray,user30@example.com,+14625549685,Halifax,NS,rider,2025-06-30,True
31,Veronica,Bowman,user31@example.com,+15631471321,Edmonton,AB,rider,2025-08-17,True
32,Angela,Cohen,user32@example.com,+14534753843,Ottawa,ON,rider,2025-11-10,True
33,Megan,Parsons,user33@example.com,+13024662077,Montreal,QC,rider,2023-07-01,True
34,Jeremy,Johnson,user34@example.com,+14193976097,Vancouver,BC,rider,2024-10-11,True
35,Leslie,Adams,user35@example.com,+13816937739,Halifax,NS,rider,2025-01-26,True
36,Jason,Hahn,user36@example.com,+14383331379,Vancouver,BC,driver,2025-01-30,True
37,Nancy,Edwards,user37@example.com,+17646078163,Vancouver,BC,rider,2024-12-01,True
38,Diana,Foster,user38@example.com,+16088130061,Edmonton,AB,rider,2025-01-22,True
39,Robin,Ellis,user39@example.com,+18465807051,Halifax,NS,rider,2025-02-07,True
40,Joseph,Wright,user40@example.com,+18080086404,Winnipeg,MB,rider,2026-07-28,True
41,Anna,Baker,user41@example.com,+16650034933,Vancouver,BC,rider,2023-02-17,True
42,Brenda,Hurst,user42@example.com,+13254516608,Calgary,AB,rider,2024-03-02,True
43,Reginald,Robinson,user43@example.com,+17017419332,Ottawa,ON,driver,2024-12-11,True
44,Whitney,Hicks,user44@example.com,+18656023269,Winnipeg,MB,driver,2023-06-25,True
45,Christopher,Williams,user45@example.com,+19624052403,Ottawa,ON,rider,2026-07-02,False
46,Daniel,Burton,user46@example.com,+19559160171,Toronto,ON,rider,2024-11-16,True
47,Laura,Henderson,user47@example.com,+16734842557,Halifax,NS,driver,2026-07-13,True
48,Bryan,James,user48@example.com,+17573617420,Calgary,AB,rider,2023-02-20,True
49,Wendy,Rice,user49@example.com,+19998086495,Edmonton,AB,rider,2023-05-16,True
50,Tasha,Valencia,user50@example.com,+19626279845,Montreal,QC,rider,2024-01-04,True
51,Alexander,Le,user51@example.com,+19993143295,Edmonton,AB,rider,2025-08-06,True
